epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4967,1.87512,3.47327,2.02158,0.00276,0.45838,0.19395,0.09767,2.02794,3.47892,2.43024,0.00027151,0.00027151,0.00027151
2,33.7138,1.75367,3.15218,1.89174,0.00441,0.54286,0.21771,0.11024,1.96567,3.36316,2.19594,0.000551793,0.000551793,0.000551793
3,38.1176,1.94473,2.87342,1.99009,0.0144,0.46418,0.26794,0.11969,2.22794,3.23453,2.75588,0.000826416,0.000826416,0.000826416
4,42.2093,1.82125,2.61709,1.96426,0.31205,0.13867,0.1803,0.08086,2.50303,4.90283,2.73898,0.00109538,0.00109538,0.00109538
5,46.2871,1.87889,2.58571,1.99459,0.27805,0.30938,0.27431,0.10026,2.3467,3.02609,2.73957,0.00135869,0.00135869,0.00135869
6,50.3964,1.83597,2.53725,1.99372,0.27452,0.39583,0.26565,0.15569,2.25004,3.19674,2.74401,0.00135826,0.00135826,0.00135826
7,54.4784,1.81534,2.53382,1.98491,0.25573,0.29746,0.20806,0.13146,2.67759,5.24935,3.28009,0.00134412,0.00134412,0.00134412
8,58.5846,1.77564,2.47859,1.95858,0.93436,0.25758,0.27738,0.18908,2.11434,3.33559,2.71423,0.00132997,0.00132997,0.00132997
9,62.669,1.78122,2.42851,1.98052,0.36953,0.34746,0.32752,0.10123,2.33475,3.52736,2.60013,0.00131582,0.00131582,0.00131582
10,66.8102,1.77311,2.30805,1.92061,0.38409,0.30886,0.29043,0.07116,2.41699,3.76731,2.71562,0.00130168,0.00130168,0.00130168
11,70.8483,1.7401,2.32444,1.90843,0.9924,0.27273,0.32678,0.23359,2.06467,3.02698,2.53472,0.00128753,0.00128753,0.00128753
12,74.9509,1.77159,2.3264,1.915,0.59961,0.24074,0.26428,0.08717,2.41078,3.61596,2.80031,0.00127338,0.00127338,0.00127338
13,79.0743,1.74416,2.32913,1.88855,0.33195,0.30839,0.28083,0.14398,2.16445,3.02169,2.41207,0.00125923,0.00125923,0.00125923
14,83.2096,1.69934,2.27918,1.90812,0.09584,0.25925,0.05719,0.01298,2.78614,3.70825,2.80458,0.00124509,0.00124509,0.00124509
15,87.3348,1.74844,2.21925,1.94181,0.22077,0.1862,0.19576,0.08662,2.28721,2.86385,2.51021,0.00123094,0.00123094,0.00123094
16,91.3659,1.67501,2.17754,1.90675,0.22102,0.33408,0.23922,0.13432,2.35524,2.69789,2.45806,0.00121679,0.00121679,0.00121679
17,95.6434,1.73633,2.17175,1.89148,0.36266,0.35821,0.35377,0.22818,2.09669,2.298,2.4096,0.00120265,0.00120265,0.00120265
18,99.7512,1.71042,2.17377,1.88353,0.46941,0.3343,0.33217,0.22848,2.07653,2.75787,2.5061,0.0011885,0.0011885,0.0011885
19,103.863,1.61314,2.03991,1.82135,0.30628,0.38948,0.32546,0.24572,2.03747,2.50945,2.37266,0.00117435,0.00117435,0.00117435
20,107.972,1.67383,2.10137,1.83972,0.4188,0.35902,0.35667,0.22472,2.06873,2.41784,2.37804,0.00116021,0.00116021,0.00116021
21,112.135,1.68588,2.08134,1.86958,0.37598,0.3369,0.34743,0.22555,2.14472,2.41083,2.3642,0.00114606,0.00114606,0.00114606
22,116.346,1.64921,2.09022,1.87045,0.51575,0.36656,0.3937,0.27556,1.92128,2.17405,2.20964,0.00113191,0.00113191,0.00113191
23,120.44,1.59554,2.01829,1.80202,0.60909,0.3558,0.34971,0.25772,1.89608,2.23926,2.15615,0.00111776,0.00111776,0.00111776
24,124.602,1.67854,2.01907,1.81983,0.33741,0.41439,0.36906,0.26342,1.99942,2.41011,2.32298,0.00110362,0.00110362,0.00110362
25,128.735,1.64375,2.02511,1.83473,0.42907,0.40801,0.37129,0.26177,2.00007,2.21235,2.29482,0.00108947,0.00108947,0.00108947
26,132.877,1.62643,1.95397,1.81081,0.3144,0.34604,0.32733,0.24387,1.91207,2.55833,2.22273,0.00107532,0.00107532,0.00107532
27,137.008,1.59791,2.00456,1.80006,0.28009,0.36061,0.21804,0.1179,1.99533,2.86638,2.26912,0.00106118,0.00106118,0.00106118
28,141.292,1.56786,1.85813,1.76022,0.43712,0.40207,0.35655,0.2642,1.99213,2.28661,2.25835,0.00104703,0.00104703,0.00104703
29,145.457,1.58178,1.88346,1.74727,0.38842,0.39399,0.36807,0.26817,2.04191,2.2595,2.37399,0.00103288,0.00103288,0.00103288
30,149.55,1.61991,1.95548,1.78368,0.47312,0.4066,0.36942,0.27231,2.03793,2.30128,2.32366,0.00101873,0.00101873,0.00101873
31,153.62,1.58245,1.9609,1.7676,0.47377,0.41438,0.37419,0.2704,1.9314,2.12791,2.219,0.00100459,0.00100459,0.00100459
32,157.779,1.5544,1.84924,1.7748,0.99201,0.30303,0.3496,0.25594,2.04484,2.47412,2.3241,0.00099044,0.00099044,0.00099044
33,161.856,1.60951,1.91075,1.78634,0.65695,0.30303,0.36041,0.2535,2.05338,2.32114,2.32468,0.000976293,0.000976293,0.000976293
34,165.955,1.53317,1.81926,1.73057,0.66106,0.30303,0.41597,0.26956,1.99057,2.20052,2.30659,0.000962146,0.000962146,0.000962146
35,170.069,1.53152,1.8205,1.72552,0.45312,0.43615,0.39569,0.27175,1.97838,2.11424,2.3,0.000947999,0.000947999,0.000947999
36,174.183,1.513,1.80684,1.71869,0.43556,0.4564,0.39074,0.2761,1.96183,2.06673,2.24789,0.000933851,0.000933851,0.000933851
37,178.327,1.52223,1.79497,1.7281,0.53616,0.44225,0.41175,0.28272,1.93994,2.10581,2.21701,0.000919704,0.000919704,0.000919704
38,182.461,1.54758,1.80199,1.74202,0.3956,0.42654,0.35866,0.25123,2.00752,2.17789,2.2345,0.000905557,0.000905557,0.000905557
39,186.625,1.462,1.72195,1.68482,0.57735,0.42612,0.41949,0.28045,1.9297,2.14764,2.16648,0.00089141,0.00089141,0.00089141
40,190.653,1.45371,1.70055,1.6867,0.42692,0.34539,0.33421,0.2147,2.0978,2.41849,2.27178,0.000877263,0.000877263,0.000877263
41,194.758,1.49064,1.69419,1.70515,0.48873,0.47295,0.40839,0.27145,1.95864,1.95898,2.22817,0.000863116,0.000863116,0.000863116
42,198.856,1.50093,1.76795,1.69347,0.49237,0.42612,0.38371,0.26922,1.98996,2.27181,2.22665,0.000848969,0.000848969,0.000848969
43,202.949,1.44915,1.66708,1.66474,0.44139,0.37547,0.38781,0.27086,1.9291,2.06514,2.23648,0.000834822,0.000834822,0.000834822
44,207.068,1.48161,1.63911,1.66116,0.40161,0.37489,0.35714,0.26193,2.02109,2.07834,2.27762,0.000820675,0.000820675,0.000820675
45,211.16,1.50137,1.68047,1.70792,0.37807,0.44126,0.37161,0.26074,1.97982,2.12862,2.22028,0.000806528,0.000806528,0.000806528
46,215.368,1.4636,1.6676,1.68566,0.46956,0.44706,0.40201,0.27465,1.9895,2.10113,2.26552,0.00079238,0.00079238,0.00079238
47,219.348,1.46735,1.66271,1.67112,0.42999,0.4373,0.3761,0.26399,1.98079,2.07571,2.26551,0.000778233,0.000778233,0.000778233
48,223.554,1.42828,1.63978,1.68038,0.44828,0.43291,0.39164,0.26375,1.97274,2.12723,2.24475,0.000764086,0.000764086,0.000764086
49,227.72,1.41499,1.56827,1.63511,0.56031,0.42513,0.42936,0.28517,1.93656,1.95185,2.2312,0.000749939,0.000749939,0.000749939
50,231.759,1.41473,1.58922,1.65142,0.40049,0.44459,0.38414,0.26467,1.94976,2.11961,2.32572,0.000735792,0.000735792,0.000735792
