epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9838,1.84051,3.06961,2.04252,0.83805,0.06889,0.15578,0.03738,2.39731,3.9267,2.71169,0.000470453,0.000470453,0.000470453
2,65.7223,1.77651,2.54172,2.02725,0.52285,0.22381,0.14494,0.03297,2.50641,4.18421,2.97943,0.000937413,0.000937413,0.000937413
3,83.0957,1.84875,2.42233,2.03678,0.16405,0.28531,0.19382,0.08107,2.54681,4.708,3.06256,0.00139494,0.00139494,0.00139494
4,100.218,1.7965,2.29934,2.00039,0.26146,0.35604,0.20843,0.09473,2.18647,3.26926,2.62385,0.00138656,0.00138656,0.00138656
5,117.468,1.77982,2.26777,2.0006,0.30271,0.35286,0.24601,0.12284,2.23437,3.03092,2.52344,0.00137241,0.00137241,0.00137241
6,134.699,1.70439,2.11654,1.94034,0.63719,0.26881,0.28285,0.16022,2.01551,2.78159,2.43944,0.00135826,0.00135826,0.00135826
7,152.047,1.72403,2.12851,1.96684,0.63451,0.28621,0.26222,0.13599,2.23873,2.89773,2.60686,0.00134412,0.00134412,0.00134412
8,169.34,1.69382,2.06234,1.95371,0.42227,0.39156,0.35053,0.18617,2.04486,2.28211,2.40243,0.00132997,0.00132997,0.00132997
9,186.31,1.69196,2.04142,1.91883,0.46555,0.33313,0.29669,0.15704,2.08359,2.47639,2.45132,0.00131582,0.00131582,0.00131582
10,203.541,1.68093,2.02176,1.93386,0.30081,0.35479,0.28088,0.15759,2.01918,2.56903,2.46153,0.00130168,0.00130168,0.00130168
11,220.56,1.64406,1.96001,1.90419,0.464,0.35193,0.32982,0.16435,2.20625,2.51286,2.5108,0.00128753,0.00128753,0.00128753
12,237.592,1.64103,1.97821,1.88345,0.75445,0.29203,0.31998,0.14311,2.22851,2.55423,2.47191,0.00127338,0.00127338,0.00127338
13,254.787,1.63703,1.97916,1.89642,0.73758,0.31509,0.34521,0.17436,2.1473,2.74744,2.46359,0.00125923,0.00125923,0.00125923
14,271.808,1.61999,1.9194,1.88128,0.43859,0.38255,0.33911,0.18279,2.00651,2.23638,2.3399,0.00124509,0.00124509,0.00124509
15,288.797,1.64532,1.92478,1.88546,0.46749,0.42465,0.35887,0.17452,1.99935,2.26579,2.33035,0.00123094,0.00123094,0.00123094
16,305.888,1.59826,1.8853,1.84208,0.41726,0.43655,0.35454,0.17068,2.03645,2.36079,2.37397,0.00121679,0.00121679,0.00121679
17,322.815,1.63752,1.92878,1.87215,0.43617,0.40817,0.36033,0.17395,2.06551,2.326,2.35458,0.00120265,0.00120265,0.00120265
18,339.953,1.58784,1.89254,1.85089,0.48881,0.37958,0.34842,0.17757,1.90932,2.28005,2.26823,0.0011885,0.0011885,0.0011885
19,357.107,1.59332,1.92113,1.84854,0.44829,0.37469,0.33336,0.16605,2.00481,2.28744,2.35581,0.00117435,0.00117435,0.00117435
