epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0326,3.24542,3.68106,3.64694,0.00101,0.15295,0.00352,0.00071,3.41577,4.34418,3.62725,0.000329218,0.000329218,0.0674074
2,57.4109,2.78608,3.10075,3.14994,0.40641,0.08825,0.09803,0.03171,2.68864,3.72737,3.36927,0.000662511,0.000662511,0.0344074
3,73.6458,2.5201,2.95706,2.88331,0.34335,0.24141,0.20912,0.08968,2.45281,3.06616,3.1393,0.000995642,0.000995642,0.00140716
4,89.8105,2.33843,2.77666,2.71235,0.41623,0.20802,0.19388,0.10428,2.45231,3.23174,3.11877,0.00099945,0.00099945,0.00099945
5,106.079,2.16478,2.63058,2.5679,0.28554,0.29493,0.21477,0.11616,2.30551,2.9535,2.95715,0.000999023,0.000999023,0.000999023
6,122.484,2.15301,2.52791,2.50565,0.5734,0.23586,0.23093,0.12403,2.29678,2.92883,3.04245,0.000998474,0.000998474,0.000998474
7,139.256,2.04848,2.46005,2.44022,0.28904,0.32572,0.21879,0.10822,2.2778,2.93151,2.77211,0.000997803,0.000997803,0.000997803
8,155.766,2.02979,2.41173,2.41752,0.27078,0.3911,0.2792,0.14668,2.21359,2.70685,2.78333,0.000997011,0.000997011,0.000997011
9,172.294,2.00583,2.38933,2.39102,0.2894,0.33184,0.27656,0.14443,2.13676,2.63664,2.73075,0.000996097,0.000996097,0.000996097
10,188.684,1.95287,2.33571,2.37132,0.34718,0.33201,0.28982,0.1598,2.12264,2.58997,2.71829,0.000995062,0.000995062,0.000995062
11,205.008,1.94002,2.28127,2.33642,0.24614,0.32744,0.24595,0.14098,2.1235,2.68813,2.79793,0.000993906,0.000993906,0.000993906
12,221.479,1.90886,2.25016,2.31167,0.29921,0.28884,0.22318,0.09573,2.24071,2.85019,2.85642,0.000992629,0.000992629,0.000992629
13,237.793,1.90485,2.24578,2.29118,0.39374,0.3396,0.31378,0.16228,2.1243,2.52138,2.68668,0.000991232,0.000991232,0.000991232
14,254.238,1.85075,2.15346,2.25876,0.37543,0.34097,0.28975,0.14626,2.08976,2.53623,2.66832,0.000989715,0.000989715,0.000989715
15,270.557,1.86682,2.22908,2.26653,0.24657,0.33829,0.20698,0.09391,2.23602,2.94261,2.88317,0.000988079,0.000988079,0.000988079
16,286.905,1.86671,2.20612,2.26855,0.35413,0.31731,0.26993,0.15041,2.08408,2.58158,2.6893,0.000986323,0.000986323,0.000986323
17,303.432,1.80012,2.12785,2.20231,0.40248,0.38924,0.34265,0.18464,2.05061,2.44911,2.59874,0.000984449,0.000984449,0.000984449
18,319.949,1.83527,2.1871,2.24331,0.38701,0.35023,0.29738,0.16098,2.01427,2.47507,2.55191,0.000982456,0.000982456,0.000982456
19,336.322,1.82912,2.18231,2.23407,0.34374,0.42338,0.28774,0.14613,2.03933,2.5088,2.6888,0.000980345,0.000980345,0.000980345
20,352.732,1.81166,2.1727,2.2058,0.39375,0.38747,0.31777,0.16548,2.00429,2.34418,2.54057,0.000978118,0.000978118,0.000978118
