epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6311,3.21536,3.75717,3.63224,0.00021,0.06667,0.00105,0.00017,3.50346,4.23849,3.6857,0.000329218,0.000329218,0.0674074
2,60.4687,2.75326,3.11133,3.13076,0.42241,0.08444,0.07377,0.0145,2.90241,3.74578,3.33997,0.000662511,0.000662511,0.0344074
3,78.2351,2.5187,2.94388,2.88572,0.53008,0.18834,0.15516,0.04857,2.67743,3.44626,3.24311,0.000995642,0.000995642,0.00140716
4,95.8978,2.3788,2.79291,2.75757,0.91466,0.17333,0.21985,0.10248,2.51045,2.96404,3.02123,0.00099945,0.00099945,0.00099945
5,113.748,2.18581,2.63475,2.595,0.38834,0.29767,0.25372,0.13159,2.42881,2.88551,3.01697,0.000999023,0.000999023,0.000999023
6,131.715,2.15126,2.53129,2.53148,0.37649,0.25559,0.21619,0.11826,2.40123,3.34779,3.18215,0.000998474,0.000998474,0.000998474
7,149.616,2.07487,2.48365,2.46283,0.32133,0.35191,0.26321,0.13509,2.21123,2.78386,2.77905,0.000997803,0.000997803,0.000997803
8,167.563,2.03749,2.42665,2.43718,0.38975,0.28915,0.26236,0.13838,2.24484,2.75534,2.8761,0.000997011,0.000997011,0.000997011
9,185.443,1.99685,2.36691,2.38602,0.41941,0.34031,0.26095,0.14435,2.16749,2.63183,2.70417,0.000996097,0.000996097,0.000996097
10,203.479,1.94847,2.30826,2.35881,0.39785,0.36069,0.27338,0.15554,2.10251,2.62262,2.75878,0.000995062,0.000995062,0.000995062
11,221.343,1.93937,2.27535,2.33983,0.35758,0.36095,0.26765,0.13897,2.17638,2.61709,2.79287,0.000993906,0.000993906,0.000993906
12,239.163,1.89381,2.25542,2.29753,0.37184,0.36706,0.27822,0.14528,2.11272,2.5831,2.66262,0.000992629,0.000992629,0.000992629
13,256.908,1.87838,2.24746,2.28142,0.36702,0.3247,0.28133,0.15557,2.08242,2.5933,2.63584,0.000991232,0.000991232,0.000991232
14,274.695,1.85021,2.14467,2.25243,0.4302,0.36573,0.3204,0.16759,2.14336,2.40377,2.68298,0.000989715,0.000989715,0.000989715
15,292.497,1.85328,2.19551,2.24589,0.44803,0.33119,0.31244,0.16564,2.04264,2.49419,2.60081,0.000988079,0.000988079,0.000988079
16,310.325,1.85586,2.187,2.24817,0.37026,0.35541,0.28758,0.16189,2.02563,2.51014,2.58617,0.000986323,0.000986323,0.000986323
17,328.029,1.77639,2.10369,2.185,0.40087,0.41037,0.32932,0.17753,2.03658,2.43683,2.57827,0.000984449,0.000984449,0.000984449
18,345.894,1.81651,2.14409,2.22611,0.41906,0.36781,0.29489,0.15611,2.12359,2.46487,2.5849,0.000982456,0.000982456,0.000982456
19,363.674,1.84004,2.16744,2.23495,0.65463,0.31759,0.31561,0.16286,2.07137,2.58514,2.64282,0.000980345,0.000980345,0.000980345
20,381.482,1.782,2.12918,2.17774,0.33955,0.42994,0.33603,0.16538,2.02715,2.43239,2.53573,0.000978118,0.000978118,0.000978118
21,399.358,1.75372,2.06396,2.15634,0.33935,0.37577,0.29548,0.16133,2.11818,2.49919,2.62924,0.000975773,0.000975773,0.000975773
22,416.971,1.73044,2.06171,2.13848,0.46005,0.35195,0.33166,0.17975,2.00588,2.35637,2.52557,0.000973312,0.000973312,0.000973312
23,434.752,1.75906,2.05547,2.15423,0.40357,0.42083,0.342,0.17769,2.0011,2.36192,2.53433,0.000970736,0.000970736,0.000970736
24,452.499,1.75112,2.07276,2.14216,0.42012,0.38758,0.35811,0.18636,2.02934,2.27475,2.53147,0.000968045,0.000968045,0.000968045
25,470.261,1.76365,2.06183,2.16139,0.37872,0.35485,0.3141,0.1664,2.01836,2.3522,2.53089,0.000965239,0.000965239,0.000965239
26,488.067,1.76229,2.06058,2.16042,0.38998,0.3727,0.32499,0.16896,1.99284,2.31299,2.56998,0.00096232,0.00096232,0.00096232
27,505.843,1.71707,2.03208,2.14067,0.42501,0.40251,0.34044,0.1756,2.00234,2.37004,2.52879,0.000959289,0.000959289,0.000959289
28,523.634,1.72199,2.04572,2.13516,0.35547,0.42891,0.30531,0.15512,2.01904,2.36809,2.5453,0.000956145,0.000956145,0.000956145
29,541.458,1.75718,2.07269,2.1224,0.42328,0.33135,0.29816,0.15221,2.10914,2.4205,2.65073,0.000952889,0.000952889,0.000952889
30,559.191,1.7022,1.98044,2.09918,0.49385,0.38863,0.36052,0.1647,2.08274,2.33589,2.60216,0.000949524,0.000949524,0.000949524
31,577.011,1.70665,2.0028,2.11753,0.36096,0.4297,0.34144,0.17011,1.99982,2.32415,2.50839,0.000946048,0.000946048,0.000946048
32,594.77,1.73525,2.01542,2.12348,0.44827,0.39116,0.33004,0.15505,2.08257,2.3204,2.63893,0.000942464,0.000942464,0.000942464
33,612.57,1.70816,2.02159,2.10292,0.40941,0.38886,0.3385,0.17371,1.99872,2.29849,2.52665,0.000938772,0.000938772,0.000938772
34,630.367,1.70956,1.99087,2.11171,0.46405,0.40869,0.36474,0.19182,1.96998,2.28999,2.47044,0.000934973,0.000934973,0.000934973
35,648.191,1.70384,1.98995,2.08581,0.45384,0.38172,0.33902,0.17849,1.94894,2.31721,2.45432,0.000931067,0.000931067,0.000931067
36,666.018,1.68946,2.00391,2.08371,0.41406,0.35365,0.33488,0.16905,2.03123,2.36599,2.50404,0.000927057,0.000927057,0.000927057
37,683.855,1.65206,1.91217,2.05264,0.4385,0.41697,0.35577,0.18066,1.96291,2.25351,2.48433,0.000922942,0.000922942,0.000922942
38,701.52,1.69082,1.95907,2.08833,0.48659,0.37867,0.34857,0.17541,1.97093,2.32034,2.47417,0.000918725,0.000918725,0.000918725
39,719.28,1.68299,1.95629,2.07574,0.44647,0.43241,0.38375,0.18555,1.95482,2.25582,2.45343,0.000914405,0.000914405,0.000914405
40,737.049,1.68976,1.96577,2.07594,0.44447,0.41833,0.36309,0.18581,1.92045,2.22462,2.42111,0.000909984,0.000909984,0.000909984
41,754.921,1.68964,1.95619,2.08065,0.4048,0.44187,0.37867,0.18833,1.98239,2.25947,2.49775,0.000905463,0.000905463,0.000905463
42,772.719,1.66607,1.92745,2.06559,0.4062,0.4153,0.36488,0.18435,1.96959,2.2191,2.46203,0.000900844,0.000900844,0.000900844
43,790.45,1.66684,1.90425,2.07812,0.41054,0.42566,0.34504,0.17931,1.94517,2.2898,2.45098,0.000896127,0.000896127,0.000896127
44,808.257,1.6734,1.97086,2.07863,0.43058,0.43003,0.36395,0.1871,1.93916,2.227,2.46908,0.000891313,0.000891313,0.000891313
45,826.145,1.67285,1.9468,2.06202,0.41203,0.41791,0.35443,0.18287,1.96094,2.29426,2.45241,0.000886404,0.000886404,0.000886404
46,844.026,1.64521,1.91206,2.04148,0.44686,0.38673,0.3338,0.17685,1.97368,2.27749,2.45534,0.000881401,0.000881401,0.000881401
47,861.779,1.61758,1.89864,2.03029,0.39239,0.40965,0.32719,0.17923,1.94957,2.33282,2.46874,0.000876305,0.000876305,0.000876305
48,879.434,1.65024,1.91636,2.04284,0.46446,0.39764,0.38248,0.18981,1.94179,2.24629,2.44144,0.000871117,0.000871117,0.000871117
49,897.077,1.65046,1.92892,2.02931,0.44399,0.40784,0.36774,0.19825,1.92585,2.25394,2.45259,0.000865839,0.000865839,0.000865839
50,914.716,1.64468,1.89788,2.03507,0.44832,0.41888,0.36823,0.19899,1.94683,2.1909,2.45635,0.000860473,0.000860473,0.000860473
51,932.532,1.63007,1.86633,2.03911,0.45178,0.44377,0.38836,0.20231,1.93526,2.19946,2.42795,0.000855018,0.000855018,0.000855018
52,950.381,1.62561,1.89701,2.02246,0.45479,0.42894,0.38612,0.2014,1.90601,2.17576,2.40553,0.000849477,0.000849477,0.000849477
53,968.1,1.63944,1.88228,2.01658,0.45546,0.42606,0.38542,0.19926,1.92621,2.18329,2.41262,0.000843851,0.000843851,0.000843851
54,985.862,1.62493,1.86878,2.00387,0.4353,0.43646,0.36411,0.19255,1.92229,2.20193,2.41073,0.000838141,0.000838141,0.000838141
55,1003.61,1.65744,1.89753,2.04394,0.43287,0.41781,0.35552,0.19325,1.90434,2.17898,2.38558,0.000832349,0.000832349,0.000832349
56,1021.27,1.64196,1.89549,2.02277,0.40061,0.42174,0.36201,0.18542,1.95292,2.22706,2.47361,0.000826477,0.000826477,0.000826477
57,1039.05,1.62806,1.881,2.0261,0.48698,0.41451,0.39326,0.20052,1.88471,2.21054,2.41471,0.000820525,0.000820525,0.000820525
58,1056.79,1.60862,1.84974,1.99658,0.45745,0.44575,0.37526,0.19189,1.91688,2.23881,2.4495,0.000814495,0.000814495,0.000814495
59,1074.5,1.6084,1.8523,2.00735,0.49028,0.41522,0.37539,0.19608,1.88164,2.14376,2.37618,0.000808389,0.000808389,0.000808389
60,1092.12,1.57849,1.80968,1.97984,0.42417,0.43426,0.38009,0.19891,1.89803,2.15682,2.37837,0.000802208,0.000802208,0.000802208
61,1109.92,1.59544,1.83147,1.98823,0.42078,0.44094,0.37662,0.18987,1.91493,2.18218,2.42596,0.000795954,0.000795954,0.000795954
62,1127.8,1.61888,1.83221,2.00689,0.45622,0.43342,0.38003,0.19354,1.95282,2.20456,2.4192,0.000789628,0.000789628,0.000789628
63,1145.54,1.55316,1.80602,1.96582,0.47138,0.4261,0.38281,0.19182,1.97839,2.18443,2.51459,0.000783231,0.000783231,0.000783231
64,1163.36,1.61796,1.83365,2.00187,0.46531,0.45379,0.40366,0.20561,1.97034,2.21046,2.50894,0.000776766,0.000776766,0.000776766
65,1181.1,1.58374,1.84016,1.98604,0.41902,0.43293,0.38586,0.2056,1.92234,2.19031,2.41364,0.000770234,0.000770234,0.000770234
66,1199.15,1.60455,1.82644,1.98517,0.42602,0.42997,0.36536,0.19023,1.93198,2.21528,2.43876,0.000763637,0.000763637,0.000763637
67,1217.25,1.59861,1.80983,1.99368,0.52075,0.43045,0.39434,0.20511,1.91212,2.11022,2.39303,0.000756976,0.000756976,0.000756976
68,1235.19,1.62932,1.8098,2.0063,0.47723,0.4516,0.41159,0.21071,1.92957,2.12671,2.41775,0.000750252,0.000750252,0.000750252
69,1253.26,1.57951,1.81702,1.97484,0.45817,0.45023,0.39826,0.19303,1.9553,2.1266,2.4553,0.000743468,0.000743468,0.000743468
70,1271.28,1.56698,1.81092,1.95872,0.45937,0.43112,0.37768,0.18287,1.96643,2.18891,2.4667,0.000736625,0.000736625,0.000736625
71,1289.25,1.61288,1.82474,1.99141,0.50006,0.4005,0.4025,0.20143,1.95811,2.15815,2.45904,0.000729725,0.000729725,0.000729725
72,1307.27,1.56643,1.81717,1.96268,0.45452,0.44308,0.39027,0.19824,1.93091,2.1724,2.43012,0.00072277,0.00072277,0.00072277
