epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8494,3.26678,3.6684,3.65656,0.00174,0.16789,0.00136,0.00025,3.37836,4.20578,3.60869,0.000329218,0.000329218,0.0674074
2,56.6513,2.88697,3.10289,3.20714,0.16922,0.30072,0.13172,0.05055,2.62098,3.44679,3.26111,0.000662511,0.000662511,0.0344074
3,72.5003,2.563,2.98985,2.94428,0.18513,0.32222,0.14382,0.04603,2.62649,3.05324,3.16596,0.000995642,0.000995642,0.00140716
4,88.0171,2.38262,2.81829,2.78114,0.8907,0.18,0.2203,0.09853,2.45356,3.11382,3.04455,0.00099945,0.00099945,0.00099945
5,103.778,2.21412,2.65762,2.63111,0.35527,0.31498,0.24822,0.11908,2.35019,2.83011,2.92155,0.000999023,0.000999023,0.000999023
6,119.699,2.17378,2.5364,2.55769,0.66861,0.26589,0.26452,0.14047,2.26652,2.93782,2.93741,0.000998474,0.000998474,0.000998474
7,135.671,2.0813,2.47373,2.49922,0.28468,0.31755,0.27607,0.1376,2.21593,2.63376,2.84697,0.000997803,0.000997803,0.000997803
8,151.734,2.06553,2.46145,2.47282,0.30078,0.31344,0.22723,0.10796,2.30695,2.82842,2.96012,0.000997011,0.000997011,0.000997011
9,167.56,2.01473,2.41982,2.41886,0.2708,0.39316,0.2013,0.08866,2.17858,2.56897,2.80265,0.000996097,0.000996097,0.000996097
10,183.453,1.98253,2.3299,2.40033,0.31835,0.34026,0.27922,0.1511,2.12658,2.54738,2.72176,0.000995062,0.000995062,0.000995062
11,199.305,1.95319,2.30042,2.36141,0.40934,0.34289,0.29919,0.15109,2.06348,2.56126,2.71092,0.000993906,0.000993906,0.000993906
12,215.099,1.92218,2.24256,2.33558,0.35008,0.35829,0.30243,0.1488,2.14144,2.46291,2.68075,0.000992629,0.000992629,0.000992629
13,231.081,1.9024,2.2619,2.30615,0.38352,0.36223,0.30019,0.15911,2.09355,2.57071,2.66931,0.000991232,0.000991232,0.000991232
14,246.978,1.86489,2.15315,2.283,0.39177,0.37374,0.30225,0.15717,2.05869,2.42691,2.65841,0.000989715,0.000989715,0.000989715
15,262.933,1.86719,2.21653,2.28039,0.26536,0.37138,0.23809,0.11333,2.17877,2.66454,2.77135,0.000988079,0.000988079,0.000988079
16,278.807,1.87564,2.19813,2.27253,0.39576,0.33485,0.28276,0.14299,2.09126,2.49961,2.67795,0.000986323,0.000986323,0.000986323
17,294.655,1.79818,2.11288,2.20821,0.40814,0.36606,0.29869,0.15982,2.0688,2.53921,2.62233,0.000984449,0.000984449,0.000984449
18,310.572,1.83677,2.17647,2.26511,0.42447,0.41224,0.32395,0.1626,2.03543,2.39404,2.61533,0.000982456,0.000982456,0.000982456
19,326.385,1.82289,2.16263,2.24307,0.72147,0.29939,0.34219,0.1736,2.01179,2.60392,2.59523,0.000980345,0.000980345,0.000980345
20,342.252,1.78629,2.14079,2.19548,0.33325,0.39183,0.30165,0.15602,2.02789,2.40061,2.5918,0.000978118,0.000978118,0.000978118
