epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5838,3.11755,4.01004,3.65399,0.00118,0.17201,0.00368,0.00065,3.17135,4.3739,3.55396,0.000329218,0.000329218,0.0674074
2,50.3388,2.7599,3.3816,3.23449,0.74167,0.09333,0.04427,0.01291,2.661,4.08797,3.33262,0.000662511,0.000662511,0.0344074
3,74.5174,2.50154,3.16534,2.95541,0.20921,0.17486,0.16384,0.06721,2.45043,3.39513,3.23015,0.000995642,0.000995642,0.00140716
4,98.8331,2.33126,2.97198,2.81626,0.25673,0.3245,0.22984,0.10368,2.34757,3.22288,3.01251,0.00099945,0.00099945,0.00099945
5,123.147,2.16295,2.84712,2.65624,0.60043,0.24614,0.23445,0.10806,2.36015,3.07102,3.03017,0.000999023,0.000999023,0.000999023
6,147.311,2.11711,2.70562,2.58955,0.32959,0.3393,0.24813,0.13348,2.25055,2.80855,2.9809,0.000998474,0.000998474,0.000998474
7,171.6,2.03972,2.63308,2.51375,0.62734,0.27629,0.2811,0.13701,2.15346,2.94622,2.78641,0.000997803,0.000997803,0.000997803
8,195.797,2.01562,2.62657,2.49876,0.24015,0.32096,0.21061,0.10584,2.22821,2.84417,2.98498,0.000997011,0.000997011,0.000997011
9,220.178,1.97748,2.57574,2.45681,0.28545,0.34505,0.26672,0.1463,2.09986,2.67133,2.69688,0.000996097,0.000996097,0.000996097
10,244.498,1.94638,2.50148,2.41818,0.3723,0.34885,0.28264,0.15618,2.08282,2.65485,2.73482,0.000995062,0.000995062,0.000995062
11,268.727,1.93987,2.48127,2.40423,0.34282,0.33848,0.26843,0.15041,2.04465,2.65603,2.68732,0.000993906,0.000993906,0.000993906
12,292.981,1.90719,2.45034,2.36841,0.34904,0.37275,0.2726,0.13641,2.09768,2.66982,2.71985,0.000992629,0.000992629,0.000992629
13,317.266,1.89105,2.43603,2.35729,0.3632,0.33066,0.29389,0.15845,2.03753,2.72935,2.67445,0.000991232,0.000991232,0.000991232
14,341.375,1.85228,2.33864,2.32366,0.42725,0.3627,0.30416,0.15727,2.01489,2.51132,2.59891,0.000989715,0.000989715,0.000989715
15,365.65,1.88562,2.42222,2.34581,0.32668,0.33961,0.25887,0.13883,2.08072,2.69126,2.70547,0.000988079,0.000988079,0.000988079
16,389.917,1.87077,2.37986,2.32958,0.41525,0.33562,0.2788,0.14074,2.09277,2.66437,2.73881,0.000986323,0.000986323,0.000986323
17,413.914,1.80389,2.3089,2.25456,0.41359,0.35888,0.30882,0.16362,2.05093,2.51099,2.63067,0.000984449,0.000984449,0.000984449
18,438.1,1.83754,2.34604,2.29593,0.40946,0.34269,0.29889,0.15741,2.07289,2.50864,2.62031,0.000982456,0.000982456,0.000982456
19,462.269,1.83541,2.36305,2.29348,0.66217,0.3283,0.32798,0.16708,1.97707,2.59965,2.66842,0.000980345,0.000980345,0.000980345
20,486.502,1.81314,2.30598,2.26796,0.38795,0.38594,0.33751,0.17628,1.98759,2.44237,2.55464,0.000978118,0.000978118,0.000978118
21,510.744,1.77339,2.23197,2.22152,0.45754,0.37894,0.33473,0.17508,2.01407,2.45637,2.59283,0.000975773,0.000975773,0.000975773
22,535.014,1.74918,2.21414,2.2065,0.47297,0.35201,0.31811,0.16387,1.99632,2.42281,2.58946,0.000973312,0.000973312,0.000973312
23,559.163,1.77348,2.22019,2.22086,0.44368,0.37895,0.30106,0.15823,1.99252,2.45545,2.6099,0.000970736,0.000970736,0.000970736
24,583.391,1.78638,2.25675,2.24273,0.46974,0.33116,0.32017,0.16126,2.02375,2.48731,2.61547,0.000968045,0.000968045,0.000968045
25,607.651,1.7825,2.23234,2.23166,0.39496,0.37076,0.32661,0.17627,1.96365,2.44297,2.55552,0.000965239,0.000965239,0.000965239
26,631.861,1.77446,2.20336,2.21166,0.38685,0.38446,0.31892,0.17107,1.99138,2.43873,2.58671,0.00096232,0.00096232,0.00096232
27,655.947,1.73197,2.16837,2.20657,0.45637,0.36296,0.35489,0.18732,1.92814,2.37416,2.53149,0.000959289,0.000959289,0.000959289
28,680.088,1.72375,2.17795,2.18028,0.39825,0.38074,0.33317,0.17914,1.96097,2.44288,2.5726,0.000956145,0.000956145,0.000956145
29,704.215,1.76521,2.20241,2.17546,0.44827,0.38082,0.33311,0.16544,2.03843,2.40976,2.62054,0.000952889,0.000952889,0.000952889
