epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7205,3.17984,1e-05,3.67515,8e-05,0.03823,1e-05,0,3.32264,7e-05,3.72107,0.000329218,0.000329218,0.0674074
2,99.4623,2.66572,1e-05,3.32858,0.00023,0.01529,7e-05,1e-05,2.39682,0.00139,3.31723,0.000662511,0.000662511,0.0344074
3,131.223,2.29242,1e-05,2.99823,0.33383,0.0367,0.00016,3e-05,2.35986,0.0097,3.0702,0.000995642,0.000995642,0.00140716
4,162.137,2.09092,1e-05,2.81774,0.00052,0.09762,0.00015,3e-05,2.14052,0.02136,2.89163,0.00099945,0.00099945,0.00099945
5,193.555,1.94579,1e-05,2.64281,0.33506,0.00765,0.00018,3e-05,2.071,0.00121,2.78818,0.000999023,0.000999023,0.000999023
6,225.215,1.90139,1e-05,2.54455,0.17393,0.16667,0.11777,0.08201,1.95078,4e-05,2.78096,0.000998474,0.000998474,0.000998474
7,256.122,1.81046,1e-05,2.47227,0.57168,0.17746,0.17446,0.11648,1.97984,3e-05,2.76739,0.000997803,0.000997803,0.000997803
8,287.034,1.79731,1e-05,2.46708,0.49835,0.17212,0.12216,0.07821,1.94852,2e-05,2.74645,0.000997011,0.000997011,0.000997011
9,318.93,1.7467,1e-05,2.40671,0.36349,0.1,0.02388,0.01001,1.94574,2e-05,2.68518,0.000996097,0.000996097,0.000996097
10,349.779,1.71703,1e-05,2.35321,0.87805,0.17778,0.19735,0.12417,1.83854,1e-05,2.63692,0.000995062,0.000995062,0.000995062
11,380.495,1.67237,1e-05,2.31325,0.80881,0.15861,0.11783,0.06576,1.8439,1e-05,2.62981,0.000993906,0.000993906,0.000993906
12,411.606,1.67895,1e-05,2.30027,0.88698,0.18222,0.17641,0.12501,1.83906,1e-05,2.60945,0.000992629,0.000992629,0.000992629
13,443.222,1.65747,1e-05,2.2845,0.50799,0.19264,0.14758,0.08088,1.86537,1e-05,2.63306,0.000991232,0.000991232,0.000991232
14,474.453,1.60806,1e-05,2.24443,0.9108,0.18,0.20057,0.12832,1.77329,1e-05,2.56175,0.000989715,0.000989715,0.000989715
15,505.457,1.61009,1e-05,2.25896,0.44707,0.18889,0.1646,0.09728,1.82356,1e-05,2.57659,0.000988079,0.000988079,0.000988079
16,537.099,1.61184,1e-05,2.22181,0.91051,0.18222,0.21558,0.13409,1.78126,1e-05,2.5572,0.000986323,0.000986323,0.000986323
17,568.052,1.56507,1e-05,2.17237,0.56308,0.15778,0.19211,0.12563,1.81534,1e-05,2.54423,0.000984449,0.000984449,0.000984449
18,598.958,1.57376,1e-05,2.18119,0.54791,0.1679,0.17612,0.11529,1.79087,1e-05,2.55419,0.000982456,0.000982456,0.000982456
19,629.594,1.57326,1e-05,2.18967,0.89963,0.18667,0.21608,0.12889,1.78051,1e-05,2.56388,0.000980345,0.000980345,0.000980345
20,660.529,1.53954,1e-05,2.15749,0.76692,0.19486,0.20623,0.1349,1.76337,1e-05,2.53827,0.000978118,0.000978118,0.000978118
21,691.805,1.52123,1e-05,2.14391,0.90735,0.18444,0.23509,0.14437,1.74091,1e-05,2.52012,0.000975773,0.000975773,0.000975773
22,723.047,1.482,1e-05,2.1223,0.64844,0.22478,0.2269,0.13421,1.79953,1e-05,2.55416,0.000973312,0.000973312,0.000973312
23,754.636,1.51513,1e-05,2.1268,0.60504,0.25959,0.23414,0.14211,1.74435,1e-05,2.49275,0.000970736,0.000970736,0.000970736
24,786.135,1.51959,1e-05,2.14669,0.88248,0.18365,0.23516,0.14705,1.73498,1e-05,2.46484,0.000968045,0.000968045,0.000968045
25,817.596,1.52208,1e-05,2.15656,0.55781,0.19705,0.22234,0.13689,1.75681,1e-05,2.5155,0.000965239,0.000965239,0.000965239
