epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2635,3.23383,3.6835,3.64937,0.00017,0.12667,0.00276,0.00046,3.34247,4.28939,3.66941,0.000329218,0.000329218,0.0674074
2,58.0119,2.87455,3.09696,3.23273,0.77978,0.07556,0.0748,0.02424,2.74361,3.76925,3.43334,0.000662511,0.000662511,0.0344074
3,74.4456,2.57344,2.95981,2.9478,0.23734,0.28671,0.1787,0.06827,2.5991,3.21872,3.15027,0.000995642,0.000995642,0.00140716
4,90.9686,2.39002,2.77084,2.79345,0.25421,0.29263,0.22455,0.10908,2.48346,2.96976,3.03399,0.00099945,0.00099945,0.00099945
5,107.438,2.22419,2.60979,2.63703,0.21691,0.31612,0.20982,0.099,2.4452,2.79389,3.05012,0.000999023,0.000999023,0.000999023
6,123.947,2.16029,2.50401,2.5489,0.58099,0.23631,0.22494,0.10882,2.51085,3.78174,3.23611,0.000998474,0.000998474,0.000998474
7,140.681,2.05691,2.44747,2.48563,0.35072,0.30034,0.25485,0.14025,2.20648,2.68892,2.83554,0.000997803,0.000997803,0.000997803
8,157.244,2.0521,2.42555,2.45691,0.31913,0.36021,0.23297,0.10325,2.30008,2.72562,2.9112,0.000997011,0.000997011,0.000997011
9,173.769,2.01955,2.38632,2.42582,0.42608,0.3238,0.26815,0.13759,2.17943,2.56517,2.78358,0.000996097,0.000996097,0.000996097
10,190.326,1.98057,2.3328,2.3847,0.34793,0.34014,0.26611,0.13718,2.15335,2.60052,2.82749,0.000995062,0.000995062,0.000995062
11,206.944,1.92622,2.263,2.32419,0.46777,0.33387,0.33067,0.1637,2.08439,2.45777,2.67023,0.000993906,0.000993906,0.000993906
12,223.635,1.89733,2.26239,2.32677,0.38726,0.38264,0.2959,0.15372,2.1027,2.41411,2.67016,0.000992629,0.000992629,0.000992629
13,240.268,1.90534,2.25549,2.31168,0.38817,0.35801,0.29821,0.15097,2.13762,2.73849,2.69721,0.000991232,0.000991232,0.000991232
14,256.819,1.82834,2.15198,2.25689,0.35471,0.36393,0.29702,0.15614,2.01234,2.4215,2.59544,0.000989715,0.000989715,0.000989715
15,273.431,1.85747,2.22714,2.25079,0.41152,0.34375,0.27771,0.14966,2.10741,2.56914,2.73209,0.000988079,0.000988079,0.000988079
16,290.203,1.87606,2.22844,2.26724,0.37537,0.34494,0.27138,0.14931,2.046,2.52775,2.67045,0.000986323,0.000986323,0.000986323
17,306.653,1.80198,2.14961,2.1952,0.44072,0.39293,0.32036,0.16879,2.08044,2.35783,2.59843,0.000984449,0.000984449,0.000984449
