epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2217,3.20112,3.70717,3.61716,0.00053,0.11111,0.00026,4e-05,3.39075,4.44244,3.65876,0.000329218,0.000329218,0.0674074
2,56.5842,2.82685,3.06831,3.193,0.84524,0.11556,0.13359,0.04352,2.69326,3.96569,3.44296,0.000662511,0.000662511,0.0344074
3,74.1614,2.56982,2.87496,2.92593,0.17424,0.22216,0.11725,0.0351,2.6668,3.14842,3.29262,0.000995642,0.000995642,0.00140716
4,91.794,2.33945,2.71673,2.75087,0.86778,0.17111,0.19569,0.09281,2.50558,3.18212,3.02887,0.00099945,0.00099945,0.00099945
5,109.619,2.19038,2.55667,2.59353,0.28656,0.24295,0.22043,0.11601,2.39519,3.0031,3.03909,0.000999023,0.000999023,0.000999023
6,127.719,2.13304,2.47179,2.51653,0.61838,0.27609,0.25499,0.12895,2.34373,3.11713,3.06437,0.000998474,0.000998474,0.000998474
7,146.14,2.06721,2.4186,2.45578,0.34347,0.3545,0.26018,0.12871,2.26946,2.71247,2.86113,0.000997803,0.000997803,0.000997803
8,164.093,2.04174,2.40251,2.43154,0.37619,0.34987,0.25803,0.11666,2.26301,2.70572,2.90125,0.000997011,0.000997011,0.000997011
9,182.002,1.98931,2.37151,2.38581,0.37161,0.35468,0.2662,0.14741,2.17665,2.59867,2.72952,0.000996097,0.000996097,0.000996097
10,200.086,1.9656,2.30643,2.35857,0.43652,0.34221,0.30737,0.16447,2.14355,2.60972,2.76004,0.000995062,0.000995062,0.000995062
11,218.037,1.94794,2.25147,2.33225,0.35067,0.32687,0.262,0.13512,2.13416,2.58914,2.77252,0.000993906,0.000993906,0.000993906
12,236.078,1.92962,2.23793,2.30724,0.33758,0.35439,0.28719,0.13888,2.20563,2.69542,2.7351,0.000992629,0.000992629,0.000992629
13,254.178,1.91333,2.23758,2.29069,0.43679,0.35725,0.30966,0.16022,2.05774,2.54227,2.66494,0.000991232,0.000991232,0.000991232
14,272.193,1.84676,2.14167,2.2541,0.45173,0.37604,0.33,0.16033,2.11582,2.43383,2.62201,0.000989715,0.000989715,0.000989715
15,289.987,1.86955,2.21789,2.25521,0.36849,0.34446,0.26862,0.1457,2.16873,2.80864,2.74547,0.000988079,0.000988079,0.000988079
16,307.992,1.85118,2.17581,2.23059,0.41465,0.36584,0.33103,0.17211,1.9918,2.42626,2.57995,0.000986323,0.000986323,0.000986323
17,325.971,1.79514,2.11413,2.17969,0.43249,0.37539,0.31746,0.16898,1.99845,2.36589,2.53478,0.000984449,0.000984449,0.000984449
18,343.996,1.83293,2.15816,2.22581,0.45584,0.36516,0.32121,0.17141,2.04029,2.3961,2.55158,0.000982456,0.000982456,0.000982456
19,362.003,1.81345,2.14919,2.20557,0.53374,0.38133,0.3284,0.16836,1.99789,2.57028,2.57655,0.000980345,0.000980345,0.000980345
20,380.208,1.7644,2.11763,2.15793,0.43321,0.34648,0.31381,0.16049,2.10962,2.48131,2.59795,0.000978118,0.000978118,0.000978118
21,398.047,1.75606,2.05236,2.14692,0.48472,0.36266,0.34407,0.18225,2.01088,2.38733,2.5517,0.000975773,0.000975773,0.000975773
22,416.038,1.73011,2.07138,2.13689,0.45005,0.33697,0.31383,0.17198,2.00185,2.34936,2.5608,0.000973312,0.000973312,0.000973312
23,434.019,1.76473,2.07206,2.15614,0.42238,0.38514,0.34091,0.1755,1.98557,2.40708,2.59824,0.000970736,0.000970736,0.000970736
24,451.982,1.77538,2.09434,2.16291,0.44796,0.37141,0.34257,0.18542,2.03528,2.34052,2.54144,0.000968045,0.000968045,0.000968045
