epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9705,3.25655,3.64053,3.66474,0.00129,0.16,0.00325,0.00047,3.27494,4.33686,3.60938,0.000329218,0.000329218,0.0674074
2,52.6296,2.8595,3.09014,3.21215,0.20445,0.12642,0.12188,0.03429,2.72901,3.5265,3.44895,0.000662511,0.000662511,0.0344074
3,67.7942,2.57831,2.89942,2.92806,0.07309,0.13557,0.0481,0.01243,2.65221,3.27286,3.16868,0.000995642,0.000995642,0.00140716
4,83.0051,2.41657,2.75387,2.78278,0.21826,0.24408,0.21899,0.09963,2.51284,2.99868,3.06382,0.00099945,0.00099945,0.00099945
5,98.429,2.24469,2.57972,2.61494,0.35778,0.28507,0.23508,0.10718,2.35634,2.96851,2.90145,0.000999023,0.000999023,0.000999023
6,113.907,2.17327,2.50104,2.53511,0.39127,0.2794,0.23747,0.1233,2.45922,3.24898,3.04021,0.000998474,0.000998474,0.000998474
7,129.258,2.09781,2.42604,2.47007,0.32958,0.36584,0.27155,0.14833,2.17053,2.62055,2.80666,0.000997803,0.000997803,0.000997803
8,144.794,2.05119,2.39466,2.42126,0.35286,0.40826,0.26743,0.13941,2.14257,2.77363,2.7365,0.000997011,0.000997011,0.000997011
9,160.349,2.03337,2.38586,2.37807,0.29704,0.35731,0.27999,0.15628,2.10853,2.59374,2.66975,0.000996097,0.000996097,0.000996097
10,176.175,1.96432,2.29998,2.34488,0.39562,0.36023,0.28636,0.15271,2.14203,2.58435,2.68022,0.000995062,0.000995062,0.000995062
11,191.97,1.93224,2.24817,2.29279,0.3472,0.35778,0.27137,0.14377,2.10483,2.63013,2.66686,0.000993906,0.000993906,0.000993906
12,207.754,1.91496,2.25425,2.27926,0.43237,0.31051,0.27177,0.12853,2.17563,2.61007,2.7385,0.000992629,0.000992629,0.000992629
13,223.282,1.90451,2.26393,2.26931,0.44174,0.33847,0.30144,0.16398,2.06431,2.53761,2.60255,0.000991232,0.000991232,0.000991232
14,238.877,1.84197,2.13877,2.21151,0.40032,0.3777,0.32466,0.16098,2.11215,2.42056,2.71749,0.000989715,0.000989715,0.000989715
15,254.616,1.87438,2.19588,2.22351,0.4001,0.40015,0.32704,0.17617,2.06402,2.4711,2.56531,0.000988079,0.000988079,0.000988079
16,270.467,1.8499,2.17645,2.21415,0.43018,0.35589,0.31486,0.16959,2.00982,2.39128,2.56734,0.000986323,0.000986323,0.000986323
